iter	F1	Logloss
106	0.8012185528	0.5030673298
107	0.8019202514	0.5020159864
108	0.801163266	0.5009331646
109	0.8034313579	0.4995851426
110	0.8034313579	0.4988161414
111	0.8041347222	0.4980025
112	0.8041854826	0.4977052882
113	0.8041854826	0.4967356217
114	0.8034313579	0.4959058992
115	0.8041854826	0.4953510837
116	0.8034313579	0.494947222
117	0.8026762815	0.4941919021
118	0.8034313579	0.4932653847
119	0.8041854826	0.4920066427
120	0.8041854826	0.4913927296
121	0.8041854826	0.4909126189
122	0.8049386574	0.4900828543
123	0.8056424528	0.4894511547
124	0.8056424528	0.4890112452
125	0.8056424528	0.4883178646
126	0.8049386574	0.4875058509
127	0.805690884	0.4870085224
128	0.8056424528	0.4863709439
129	0.8056424528	0.4854235931
130	0.8071463863	0.4849204345
131	0.8086465371	0.4841692933
132	0.8093524117	0.483115995
133	0.8078518394	0.482739638
134	0.8078518394	0.4822982852
135	0.8085585268	0.4819496793
136	0.8078518394	0.4812828938
137	0.8078518394	0.4805991616
138	0.8086025981	0.4801853207
139	0.8101429194	0.4798221998
140	0.8093951984	0.4793058935
141	0.8093951984	0.4788508438
142	0.8093951984	0.4783454229
143	0.8101429194	0.4777937459
144	0.8108897018	0.4773069889
145	0.8101429194	0.4768724731
146	0.8093951984	0.4763887866
147	0.8101429194	0.4756901105
148	0.8101429194	0.4755040868
149	0.8108897018	0.4750182434
150	0.8108897018	0.4745029145
151	0.8123804579	0.4739140097
152	0.8116355473	0.4735338189
153	0.8116355473	0.4729427667
154	0.8116355473	0.4726824304
155	0.8108897018	0.4724266306
156	0.8108897018	0.4717962489
157	0.8108897018	0.4713863271
158	0.8123804579	0.4705691518
159	0.812342252	0.470081655
160	0.8116355473	0.4695366036
161	0.8116355473	0.4693692697
162	0.8116355473	0.4687130165
163	0.8130873674	0.468358094
164	0.8130873674	0.4678276204
165	0.8130873674	0.4670511347
166	0.8130873674	0.4667055198
167	0.8116355473	0.4656627369
168	0.8123804579	0.465138024
169	0.8123804579	0.4646834011
170	0.8115962006	0.4636889466
171	0.8153171144	0.4628390695
172	0.8153171144	0.4622138192
173	0.8153171144	0.4619594031
174	0.8153171144	0.4615787418
175	0.8146095968	0.4610817845
176	0.8146095968	0.4607333995
177	0.8146095968	0.4604050077
178	0.8146095968	0.4599004109
179	0.8138674808	0.4594861592
180	0.8138674808	0.4590740366
181	0.8131244351	0.4586230274
182	0.8131244351	0.4580353552
183	0.8146095968	0.4578170292
184	0.8146095968	0.4573587203
185	0.8160910462	0.4569191331
186	0.8167989639	0.4564025421
187	0.8167989639	0.4558802944
188	0.8153507846	0.4554321833
189	0.8153843546	0.454896008
190	0.8153171144	0.4542873661
191	0.8160585028	0.4539982325
192	0.8175081109	0.4535603961
193	0.8175384994	0.4531305177
194	0.8175384994	0.4529608634
195	0.818277111	0.4524633411
196	0.8175384994	0.4522955636
197	0.8168303832	0.4517857323
198	0.8175687974	0.4515772971
199	0.8175687974	0.4511791436
